"","word","High","Low"
"1","packaging",0.00255634390651085,0.000487763498324638
"2","beverage",0.00182595993322204,0.000275692412096535
"3","vehicle",0.00172161936560935,0.000699834584552742
"4","casualty",0.00161727879799666,0.000911905670780846
"5","education",0.00161727879799666,0.000996734105272087
"6","network",0.00161727879799666,0.00112397675700895
"7","parts",0.00161727879799666,0.000911905670780846
"8","chemical",0.00151293823038397,0.000657420367307121
"9","networks",0.00151293823038397,0.00057259193281588
"10","process",0.00151293823038397,0.000784663019043984
