"","Var1","Freq"
"1","BusEq",132
"2","Chems",14
"3","Durbl",8
"4","Enrgy",28
"5","Hlth",965
"6","Manuf",90
"7","Money",1085
"8","NoDur",53
"9","Other",247
"10","Shops",86
"11","Telcm",19
"12","Utils",38
